network_id,city,station_id,station_name,occupancy_rate,bikes_available,free_slots,capacity,pct_empty,pct_full,latitude,longitude,turnover_proxy,criticite,type_critique
altervelo,Saint-Pierre,0b8faf0e1a963a5abc7f5125d1ee4f84,ZI Les Sables,0.385,5.0,8.0,13.0,0.0,0.0,-21.277,55.373,5.0,0.0,penurie (vide)
altervelo,Saint-Pierre,18c4838250c2a13f33efa0a4cd25f197,Mairie de Basse Terre,0.333,2.0,4.0,6.0,0.0,0.0,-21.329,55.479,2.0,0.0,penurie (vide)
altervelo,Saint-Pierre,215c011f4ced892fb95fbf2699108e6d,Village Roche Carangue,0.467,7.0,8.0,15.0,0.0,0.0,-21.272,55.336,7.0,0.0,penurie (vide)
altervelo,Saint-Pierre,31e6d6c4bc9617546d1b72e866c32bca,Eglise de Terre Sainte,0.143,2.0,12.0,14.0,0.0,0.0,-21.343,55.481,2.0,0.0,penurie (vide)
altervelo,Saint-Pierre,3f370f1c301b6a1e8ac6586c89be273a,Mairie du Ouaki,0.0,0.0,3.0,3.0,1.0,0.0,-21.27,55.449,0.0,1.0,penurie (vide)
altervelo,Saint-Pierre,4cd79f4d3acc53d32e43957ed686c477,Parc Relais,0.143,1.0,6.0,7.0,0.0,0.0,-21.333,55.457,1.0,0.0,penurie (vide)
altervelo,Saint-Pierre,55449cf9d05b393c7e75536eac076908,Bel Air,0.333,3.0,6.0,9.0,0.0,0.0,-21.293,55.402,3.0,0.0,penurie (vide)
altervelo,Saint-Pierre,56dcffc692d38dc8724a9b29094c204c,Camping l'Etang-Salé,0.143,1.0,6.0,7.0,0.0,0.0,-21.263,55.335,1.0,0.0,penurie (vide)
altervelo,Saint-Pierre,5a705e3ea53e0099a5e9776b98447bb4,Cité Palissade,0.0,0.0,3.0,3.0,1.0,0.0,-21.286,55.417,0.0,1.0,penurie (vide)
altervelo,Saint-Pierre,5a7a12f4997895ac73682d0833cffcaa,Front De Mer ,0.167,1.0,5.0,6.0,0.0,0.0,-21.342,55.468,1.0,0.0,penurie (vide)
altervelo,Saint-Pierre,60093c0719223085a4bcc138464c3bd6,Pôle d'échanges Marché Couvert,0.091,1.0,10.0,11.0,0.0,0.0,-21.341,55.473,1.0,0.0,penurie (vide)
altervelo,Saint-Pierre,69751ea644d6304742a93094d6f94b78,Rond-point Ligne Paradis,0.1,1.0,9.0,10.0,0.0,0.0,-21.315,55.477,1.0,0.0,penurie (vide)
altervelo,Saint-Pierre,7a4e9770a6ac51e95a98eb73e222298f,Parc Relais du Gol,0.2,2.0,8.0,10.0,0.0,0.0,-21.283,55.398,2.0,0.0,penurie (vide)
altervelo,Saint-Pierre,87b4927dee8be8217c4552e1fe91416c,Mairie de la Rivière,0.375,3.0,5.0,8.0,0.0,0.0,-21.265,55.438,3.0,0.0,penurie (vide)
altervelo,Saint-Pierre,95cb7324ae14a475bc542867001e9c57,ZAC Bank,0.111,1.0,8.0,9.0,0.0,0.0,-21.332,55.477,1.0,0.0,penurie (vide)
altervelo,Saint-Pierre,a60fd75230e9ef95a5c61a43884a5315,IUT,0.2,2.0,8.0,10.0,0.0,0.0,-21.342,55.491,2.0,0.0,penurie (vide)
altervelo,Saint-Pierre,b4d283cdd379008c07b1c177427bf3b5,Mairie de la Ravine,0.0,0.0,3.0,3.0,1.0,0.0,-21.286,55.47,0.0,1.0,penurie (vide)
altervelo,Saint-Pierre,bbc60f00d1e482656016b108da31ffd2,Pôle d'échanges ZAC Roland Hoarau,0.2,2.0,8.0,10.0,0.0,0.0,-21.305,55.426,2.0,0.0,penurie (vide)
altervelo,Saint-Pierre,c65bac7a21b9434d4d474d6cfefdfa52,Port,0.176,3.0,14.0,17.0,0.0,0.0,-21.344,55.476,3.0,0.0,penurie (vide)
altervelo,Saint-Pierre,c9a5d36c966a566506f92ad9815c91e4,Casabona,0.2,2.0,8.0,10.0,0.0,0.0,-21.334,55.471,2.0,0.0,penurie (vide)
altervelo,Saint-Pierre,ce65ba49fa8ad28a9c05a2b22efa7d84,Avenue Laurent Vergès,0.143,1.0,6.0,7.0,0.0,0.0,-21.299,55.455,1.0,0.0,penurie (vide)
altervelo,Saint-Pierre,d3117c2aa93eba7c7754f7639378b928,Roches Maigres,0.0,0.0,9.0,9.0,1.0,0.0,-21.276,55.415,0.0,1.0,penurie (vide)
altervelo,Saint-Pierre,d6e552e796194547d06f4bda0884497e,Les Casernes,0.111,1.0,8.0,9.0,0.0,0.0,-21.326,55.487,1.0,0.0,penurie (vide)
altervelo,Saint-Pierre,d8bcd4052cf836327a12c563099c5a44,Mon caprice,0.25,2.0,6.0,8.0,0.0,0.0,-21.306,55.497,2.0,0.0,penurie (vide)
altervelo,Saint-Pierre,e6dff557e74611c0f8cce8ffc649d6fa,Mairie annexe de Grands-Bois,0.25,2.0,6.0,8.0,0.0,0.0,-21.359,55.523,2.0,0.0,penurie (vide)
altervelo,Saint-Pierre,e7f8f6b563dc18d793750d665483c823,Pôle d'échanges de Saint-Louis,0.133,2.0,13.0,15.0,0.0,0.0,-21.29,55.407,2.0,0.0,penurie (vide)
altervelo,Saint-Pierre,ea7da3bcbced553af6384033ef028b8b,Stade de Terre Sainte,0.077,1.0,12.0,13.0,0.0,0.0,-21.345,55.492,1.0,0.0,penurie (vide)
altervelo,Saint-Pierre,f52845f7c522a3f443319ede69be5a46,Kerveguen,0.0,0.0,6.0,6.0,1.0,0.0,-21.281,55.432,0.0,1.0,penurie (vide)
altervelo,Saint-Pierre,fabadfa9752e9fc528403763064f7920,Ecole Joli fond,0.333,2.0,4.0,6.0,0.0,0.0,-21.327,55.475,2.0,0.0,penurie (vide)
altervelo,Saint-Pierre,ff4714297f58bac8ce257aec9bb1b679,Eglise Bon Pasteur,0.1,1.0,9.0,10.0,0.0,0.0,-21.337,55.464,1.0,0.0,penurie (vide)
altervelo,Saint-Pierre,ffd027743219deb743f29b0c5b200515,Lycée Jean Joly,0.0,0.0,8.0,8.0,1.0,0.0,-21.272,55.436,0.0,1.0,penurie (vide)
aqta,Auray-Quiberon,04f4b7daecf643767598a8fa161f08c5,Athéna,0.8,16.0,4.0,20.0,0.0,0.0,47.666,-2.988,16.0,0.0,penurie (vide)
aqta,Auray-Quiberon,2b91426e75e013b5e914a6e52565e973,Porte Océane,0.8,8.0,2.0,10.0,0.0,0.0,47.664,-3.004,8.0,0.0,penurie (vide)
aqta,Auray-Quiberon,2de82c532079cf7a5dcf50801768c4d6,Alre’o,0.45,9.0,11.0,20.0,0.0,0.0,47.669,-3.009,9.0,0.0,penurie (vide)
aqta,Auray-Quiberon,6b931a0522bc9bc7c31b8f0b7c11eea0,Bibliothèque de Pluneret,0.6,6.0,4.0,10.0,0.0,0.0,47.674,-2.959,6.0,0.0,penurie (vide)
aqta,Auray-Quiberon,7459cec0a8c4ef4c7a69d540e8f8e009,Skatepark Auray,0.5,5.0,5.0,10.0,0.0,0.0,47.671,-2.989,5.0,0.0,penurie (vide)
aqta,Auray-Quiberon,9ecf53a5a04da5b841d45dcaa01e1f09,Penhoët,0.556,5.0,4.0,9.0,0.0,0.0,47.682,-2.998,5.0,0.0,penurie (vide)
aqta,Auray-Quiberon,ad4a5315ce5ede49e6572debc52a4bec,M.A.L.,0.4,4.0,6.0,10.0,0.0,0.0,47.672,-2.997,4.0,0.0,penurie (vide)
aqta,Auray-Quiberon,d10fc3401507a2d69248e85db5cee5d1,La Forêt,0.4,4.0,6.0,10.0,0.0,0.0,47.672,-2.982,4.0,0.0,penurie (vide)
aqta,Auray-Quiberon,e21692e2584f1c3e6c7a7075ea955dbb,Kériolet,0.789,15.0,4.0,19.0,0.0,0.0,47.668,-2.984,15.0,0.0,penurie (vide)
aqta,Auray-Quiberon,e9c71e1a8d9e230471cfdd0b6239fada,Gare Auray,0.1,3.0,27.0,30.0,0.0,0.0,47.68,-3.001,3.0,0.0,penurie (vide)
aqta,Auray-Quiberon,f52f97ab82cff648faf471259aab22ab,Gare Saint-Anne - Pluneret,0.7,7.0,3.0,10.0,0.0,0.0,47.679,-2.962,7.0,0.0,penurie (vide)
aqta,Auray-Quiberon,fc3c09b6cce307905cb6c24f44144a33,Saint-Goustan,0.25,5.0,15.0,20.0,0.0,0.0,47.667,-2.98,5.0,0.0,penurie (vide)
auxrmlevelo,Auxerre,0a96b652ebf3736b74d5f8ec8652aaa1,Branches,0.2,3.0,12.0,15.0,0.0,0.0,47.886,3.479,3.0,0.0,penurie (vide)
auxrmlevelo,Auxerre,17a4111f2b1764105e418a4b22d8bfe2,Escolives,0.6,6.0,4.0,10.0,0.0,0.0,47.72,3.606,6.0,0.0,penurie (vide)
auxrmlevelo,Auxerre,1d3a57f69d3810eca3794499caddc787,Auxerre  Champoulains,0.4,6.0,9.0,15.0,0.0,0.0,47.807,3.58,6.0,0.0,penurie (vide)
auxrmlevelo,Auxerre,1dbbd345bc831ec68149c850ca2b6f9c,Gurgy,0.3,3.0,7.0,10.0,0.0,0.0,47.865,3.56,3.0,0.0,penurie (vide)
auxrmlevelo,Auxerre,23ca115b94dbaa8200b7fa17ad025f40,Auxerre Rive Droite,0.2,2.0,8.0,10.0,0.0,0.0,47.795,3.589,2.0,0.0,penurie (vide)
auxrmlevelo,Auxerre,2a57ab0b4b1a2159311ca35e8bdf8f8c,Vincelottes,0.4,4.0,6.0,10.0,0.0,0.0,47.707,3.639,4.0,0.0,penurie (vide)
auxrmlevelo,Auxerre,2c54bb0dcca09528d975cc195fc4128a,Auxerre  Gambetta,0.6,6.0,4.0,10.0,0.0,0.0,47.796,3.579,6.0,0.0,penurie (vide)
auxrmlevelo,Auxerre,2c74b7e4daf536df7c7de6f94bc535c8,Jussy,0.133,2.0,13.0,15.0,0.0,0.0,47.721,3.586,2.0,0.0,penurie (vide)
auxrmlevelo,Auxerre,2d168b906261f5927d710b4c67df30b7,Appoigny  Centre,0.133,4.0,26.0,30.0,0.0,0.0,47.877,3.526,4.0,0.0,penurie (vide)
auxrmlevelo,Auxerre,2d2f4a11c59acb5d77174744d7ecd799,Auxerre  Cordeliers,0.3,3.0,7.0,10.0,0.0,0.0,47.796,3.57,3.0,0.0,penurie (vide)
auxrmlevelo,Auxerre,2f82ee2e4198c5ad78ee0aaf71824547,Villeneuve-Saint-Salves,0.267,4.0,11.0,15.0,0.0,0.0,47.854,3.653,4.0,0.0,penurie (vide)
auxrmlevelo,Auxerre,3026c7f2e453ec41905daacc113b4fb1,Monéteau Terres du Canada,0.5,5.0,5.0,10.0,0.0,0.0,47.837,3.58,5.0,0.0,penurie (vide)
auxrmlevelo,Auxerre,30676623415201ddacc7c046e2210df1,Auxerre IUT,0.0,0.0,35.0,35.0,1.0,0.0,47.789,3.592,0.0,1.0,penurie (vide)
auxrmlevelo,Auxerre,3377796f625b6289324e660ecd8a7385,Irancy,0.3,3.0,7.0,10.0,0.0,0.0,47.715,3.667,3.0,0.0,penurie (vide)
auxrmlevelo,Auxerre,343911a35514a1000275a50aacddc558,Escamps,0.2,3.0,12.0,15.0,0.0,0.0,47.729,3.471,3.0,0.0,penurie (vide)
auxrmlevelo,Auxerre,39a9ce0565cbad38db5e226df5cb8908,Auxerre  Hôpital,0.3,3.0,7.0,10.0,0.0,0.0,47.802,3.553,3.0,0.0,penurie (vide)
auxrmlevelo,Auxerre,3b41a0735875060f635863f3a61f13ae,Saint-Georges-sur-Baulche  Place des Marronniers,0.267,4.0,11.0,15.0,0.0,0.0,47.8,3.531,4.0,0.0,penurie (vide)
auxrmlevelo,Auxerre,3d25d7843de2d09f3ec4b92881884514,Chevannes,0.4,4.0,6.0,10.0,0.0,0.0,47.751,3.49,4.0,0.0,penurie (vide)
auxrmlevelo,Auxerre,3ebec1cf5213339d86a48c9df11c1cc9,Charbuy,0.7,7.0,3.0,10.0,0.0,0.0,47.831,3.46,7.0,0.0,penurie (vide)
auxrmlevelo,Auxerre,4059e48a4aded16fdc329a0cf9f6b347,Villefargeau,0.4,4.0,6.0,10.0,0.0,0.0,47.782,3.504,4.0,0.0,penurie (vide)
auxrmlevelo,Auxerre,4626ef802f1b7c7c43406d83fb5f628f,Auxerre Les Chesnez,0.05,1.0,19.0,20.0,0.0,0.0,47.824,3.559,1.0,0.0,penurie (vide)
