city,co,no2,o3,pm10,pm25,so2
Bordeaux,1.32,55.0,80.11,37.31,24.09,10.18
Grenoble,1.34,55.76,75.91,37.78,24.12,10.29
Lille,1.8,75.78,109.62,52.12,33.34,14.51
Lyon,1.84,76.22,110.78,51.55,34.09,14.35
Marseille,1.81,75.91,112.59,52.34,33.3,14.41
Montpellier,1.3,54.2,80.84,37.88,24.02,10.4
Nantes,1.3,54.28,76.85,37.99,24.17,10.24
Nice,1.32,53.53,78.06,38.52,23.7,10.34
Paris,1.82,76.89,107.82,52.56,33.66,13.99
Rennes,1.31,54.8,76.31,36.03,24.64,10.34
Strasbourg,1.32,54.87,81.05,37.71,23.99,10.69
Toulouse,1.28,54.53,77.64,38.17,23.61,10.19
