day,temperature_c,tmin,tmax,precip_mm,wind_speed_ms,visibility_m,month,mean,std,temp_zscore
2025-01-01,8.759722222222221,4.0,12.9,125.8,17.5,15533.278481012658,1,3.9538841199022894,3.147499936893605,1.5268747255521813
2025-01-02,4.532407407407407,-1.0,8.6,67.0,9.8,18224.28834355828,1,3.9538841199022894,3.147499936893605,0.18380406643505323
2025-01-03,2.6268518518518515,-2.6,7.5,0.2,8.8,21948.931677018634,1,3.9538841199022894,3.147499936893605,-0.4216147083898402
2025-01-04,1.302314814814815,-2.0,12.7,20.400000000000002,17.5,14875.105590062112,1,3.9538841199022894,3.147499936893605,-0.8424366507547624
2025-01-05,9.063425925925927,0.0,13.0,180.1,15.4,11140.691823899371,1,3.9538841199022894,3.147499936893605,1.6233651814037684
2025-01-06,8.916203703703705,2.8,13.0,36.8,19.0,20823.68263473054,1,3.9538841199022894,3.147499936893605,1.576590844573274
2025-01-07,4.821739130434783,0.6,9.4,79.2,13.4,20893.929032258064,1,3.9538841199022894,3.147499936893605,0.27572836471253903
2025-01-08,2.3981481481481484,-1.0,7.6,100.2,19.6,12675.080745341615,1,3.9538841199022894,3.147499936893605,-0.49427672849758963
2025-01-09,2.8743961352657004,-1.3,7.9,57.3,14.9,14603.221476510067,1,3.9538841199022894,3.147499936893605,-0.3429668010420929
2025-01-10,0.9444444444444444,-5.9,7.1,0.4,10.3,11006.736196319018,1,3.9538841199022894,3.147499936893605,-0.9561365324213421
2025-01-11,0.8458333333333333,-5.0,8.2,1.8,8.8,4752.4390243902435,1,3.9538841199022894,3.147499936893605,-0.9874665127512018
2025-01-12,1.923148148148148,-2.4,7.6,2.2,7.2,4290.548780487805,1,3.9538841199022894,3.147499936893605,-0.6451901548752235
2025-01-13,0.024840764331210193,-4.1,5.8,0.6000000000000001,6.2,5500.369230769231,1,3.9538841199022894,3.147499936893605,-1.248306095106331
2025-01-14,0.5416666666666666,-5.0,7.0,0.0,3.6,5795.791666666667,1,3.9538841199022894,3.147499936893605,-1.0841040577123182
2025-01-15,5.020833333333333,3.0,7.0,0.0,2.6,716.6666666666666,1,3.9538841199022894,3.147499936893605,0.3389830769890528
2025-01-16,3.90625,0.0,8.0,0.0,4.6,5996.15625,1,3.9538841199022894,3.147499936893605,-0.015133954204079007
2025-01-17,1.7708333333333333,0.0,3.0,0.0,4.1,4222.395833333333,1,3.9538841199022894,3.147499936893605,-0.6935824719105467
2025-01-18,0.07291666666666667,-2.0,1.0,0.0,4.1,4792.625,1,3.9538841199022894,3.147499936893605,-1.233031781111299
2025-01-19,0.5104166666666666,-1.0,2.0,0.0,3.6,6399.75,1,3.9538841199022894,3.147499936893605,-1.0940325726055835
2025-01-20,0.59375,-1.0,5.0,0.0,4.1,5075.5,1,3.9538841199022894,3.147499936893605,-1.0675565328902092
2025-01-21,-0.6632478632478632,-3.0,2.0,0.0,7.2,2690.0,1,3.9538841199022894,3.147499936893605,-1.4669204370841027
2025-01-22,3.0555555555555554,0.0,5.0,0.0,4.6,3931.1111111111113,1,3.9538841199022894,3.147499936893605,-0.28541019296519216
2025-01-23,6.0886075949367084,2.0,9.0,0.0,11.3,9082.886075949367,1,3.9538841199022894,3.147499936893605,0.6782282820762385
2025-01-24,8.260416666666666,5.0,10.0,0.0,11.8,9544.104166666666,1,3.9538841199022894,3.147499936893605,1.3682391209242304
2025-01-25,6.125,3.0,10.0,0.0,5.7,8313.302083333334,1,3.9538841199022894,3.147499936893605,0.6897906032177629
2025-01-26,4.34375,1.0,9.0,0.0,10.8,9744.145833333334,1,3.9538841199022894,3.147499936893605,0.12386525430163631
2025-01-27,9.421052631578947,7.0,11.0,0.0,12.4,9877.53125,1,3.9538841199022894,3.147499936893605,1.7369876477495427
2025-01-28,8.447916666666666,7.0,10.0,0.0,12.4,9727.3125,1,3.9538841199022894,3.147499936893605,1.4278102102838226
2025-01-29,7.666666666666667,5.0,9.0,0.0,8.8,9168.15625,1,3.9538841199022894,3.147499936893605,1.1795973379521885
2025-01-30,5.135416666666667,0.0,8.0,0.0,7.2,9092.1875,1,3.9538841199022894,3.147499936893605,0.3753876315976927
2025-01-31,3.239130434782609,-1.0,8.0,0.0,5.7,9493.978260869566,1,3.9538841199022894,3.147499936893605,-0.22708616344726595
2025-02-01,2.1041666666666665,-1.0,7.0,0.0,5.7,8181.229166666667,2,4.673810473577399,3.459218513799843,-0.7428394004772076
2025-02-02,0.8541666666666666,-3.0,6.0,0.0,4.6,7172.90625,2,4.673810473577399,3.459218513799843,-1.104192693139519
2025-02-03,1.7708333333333333,-3.0,7.0,0.0,4.6,4331.760416666667,2,4.673810473577399,3.459218513799843,-0.8392002785204906
2025-02-04,3.1979166666666665,0.0,8.0,0.0,7.2,7970.28125,2,4.673810473577399,3.459218513799843,-0.4266552693976853
2025-02-05,4.46875,2.0,10.0,0.0,5.1,4255.177083333333,2,4.673810473577399,3.459218513799843,-0.05927942185766883
2025-02-06,4.565217391304348,1.0,7.0,0.0,7.2,7252.09375,2,4.673810473577399,3.459218513799843,-0.03139237427177311
2025-02-07,4.01063829787234,3.0,5.0,0.0,8.8,9979.427083333334,2,4.673810473577399,3.459218513799843,-0.19171155943444146
2025-02-08,4.75,1.0,8.0,0.0,5.7,9205.752577319588,2,4.673810473577399,3.459218513799843,0.0220250689913512
2025-02-09,5.0978260869565215,4.0,7.0,0.0,5.7,9918.559139784946,2,4.673810473577399,3.459218513799843,0.12257555042782035
2025-02-10,2.808988764044944,1.0,4.0,0.0,6.2,3098.913043478261,2,4.673810473577399,3.459218513799843,-0.5390875719741702
2025-02-11,4.261904761904762,2.0,6.0,0.0,6.2,5146.544444444445,2,4.673810473577399,3.459218513799843,-0.11907478814345605
2025-02-12,4.322916666666667,3.0,6.0,0.0,2.6,6456.0625,2,4.673810473577399,3.459218513799843,-0.10143730600160505
2025-02-13,3.0520833333333335,-1.0,6.0,0.0,5.7,7500.666666666667,2,4.673810473577399,3.459218513799843,-0.4688131535416215
2025-02-14,-0.13541666666666666,-3.0,4.0,0.0,6.2,6066.666666666667,2,4.673810473577399,3.459218513799843,-1.3902640498305152
2025-02-15,0.6979166666666666,-4.0,3.0,0.0,6.7,8814.572916666666,2,4.673810473577399,3.459218513799843,-1.1493618547223077
2025-02-16,0.7946236559139785,-1.0,4.0,0.0,8.0,8287.692307692309,2,4.673810473577399,3.459218513799843,-1.1214055435319277
2025-02-17,0.6041666666666666,-3.0,5.0,0.0,6.2,9332.65306122449,2,4.673810473577399,3.459218513799843,-1.176463351671981
2025-02-18,1.4166666666666667,-2.0,6.0,0.0,8.8,9376.520408163266,2,4.673810473577399,3.459218513799843,-0.9415837114414787
2025-02-19,3.53125,-2.0,8.0,0.0,7.2,8583.838383838383,2,4.673810473577399,3.459218513799843,-0.33029439135440225
2025-02-20,9.313253012048193,3.0,14.0,0.0,14.3,7505.590361445783,2,4.673810473577399,3.459218513799843,1.3411822699152105
2025-02-21,13.202127659574469,10.0,16.0,0.0,7.7,9813.302083333334,2,4.673810473577399,3.459218513799843,2.465388396822894
2025-02-22,9.989583333333334,7.0,12.0,0.0,6.7,7194.541666666667,2,4.673810473577399,3.459218513799843,1.536697620734206
2025-02-23,9.78125,4.0,14.0,0.0,8.2,8395.229166666666,2,4.673810473577399,3.459218513799843,1.476472071957154
2025-02-24,10.617021276595745,6.0,13.0,0.0,9.8,9824.416666666666,2,4.673810473577399,3.459218513799843,1.7180790341255185
2025-02-25,7.971134020618557,5.0,11.0,0.0,7.7,8724.113402061856,2,4.673810473577399,3.459218513799843,0.9531989765570349
2025-02-26,6.927083333333333,2.0,10.0,0.0,8.8,9586.989583333334,2,4.673810473577399,3.459218513799843,0.6513820537115432
2025-02-27,6.03125,2.0,8.0,0.0,9.3,9902.291666666666,2,4.673810473577399,3.459218513799843,0.3924121939702202
2025-02-28,4.859375,1.0,8.0,0.0,5.1,9725.96875,2,4.673810473577399,3.459218513799843,0.05364348209930343
2025-03-01,4.208333333333333,0.0,9.0,0.0,6.7,8335.52688172043,3,8.067911515153849,3.253033707524648,-1.1864550228584658
2025-03-02,4.095744680851064,-1.0,9.0,0.0,5.7,7142.380434782609,3,8.067911515153849,3.253033707524648,-1.221065378177514
2025-03-03,4.27319587628866,-2.0,11.0,0.0,3.6,5834.020618556701,3,8.067911515153849,3.253033707524648,-1.1665159294499676
2025-03-04,5.427083333333333,0.0,16.0,0.0,6.7,5244.260416666667,3,8.067911515153849,3.253033707524648,-0.8118047395918373
2025-03-05,6.5625,-1.0,16.0,0.0,5.1,7011.447916666667,3,8.067911515153849,3.253033707524648,-0.4627715697109611
2025-03-06,9.552083333333334,3.0,17.0,0.0,6.2,8513.541666666666,3,8.067911515153849,3.253033707524648,0.4562423730029055
2025-03-07,11.114583333333334,6.0,18.0,0.0,7.2,9900.0,3,8.067911515153849,3.253033707524648,0.9365632489857625
2025-03-08,11.96875,6.0,19.0,0.0,8.2,9902.0625,3,8.067911515153849,3.253033707524648,1.1991386611897241
2025-03-09,12.395833333333334,7.0,19.0,0.0,6.2,9882.28125,3,8.067911515153849,3.253033707524648,1.3304263672917052
2025-03-10,11.3125,6.0,16.0,0.0,5.1,7099.989583333333,3,8.067911515153849,3.253033707524648,0.9974038932769241
2025-03-11,6.583333333333333,1.0,9.0,0.0,8.2,8006.854166666667,3,8.067911515153849,3.253033707524648,-0.45636729136452314
2025-03-12,4.206521739130435,0.0,9.0,0.0,10.3,9900.45652173913,3,8.067911515153849,3.253033707524648,-1.1870119166277213
2025-03-13,3.4583333333333335,-1.0,8.0,0.0,8.8,9146.208333333334,3,8.067911515153849,3.253033707524648,-1.417009043330237
2025-03-14,3.3333333333333335,-2.0,8.0,0.0,6.2,9874.666666666666,3,8.067911515153849,3.253033707524648,-1.4554347134088654
2025-03-15,3.8333333333333335,0.0,8.0,0.0,8.2,9948.46875,3,8.067911515153849,3.253033707524648,-1.3017320330943511
2025-03-16,4.96875,1.0,10.0,0.0,8.8,9801.8125,3,8.067911515153849,3.253033707524648,-0.9526988632134753
